LibB.Seq5 LibB.Seq28036
LibB.Seq11237 LibB.Seq28810
LibB.Seq11239 LibB.Seq28020
LibB.Seq11240 LibB.Seq27911
LibB.Seq11245 LibB.Seq27972
LibB.Seq11247 LibB.Seq27571
LibB.Seq11249 LibB.Seq28133
LibB.Seq11276 LibB.Seq27810
LibB.Seq11278 LibB.Seq28509
LibB.Seq11279 LibB.Seq28578
LibB.Seq11283 LibB.Seq28962
LibB.Seq11296 LibB.Seq28961
LibB.Seq11297 LibB.Seq28777
LibB.Seq11300 LibB.Seq28980
LibB.Seq11304 LibB.Seq28664
LibB.Seq11305 LibB.Seq28688
LibB.Seq11310 LibB.Seq28205
LibB.Seq11312 LibB.Seq28278
LibB.Seq11317 LibB.Seq27510
LibB.Seq11324 LibB.Seq28172
LibB.Seq11348 LibB.Seq28774
LibB.Seq11357 LibB.Seq28808
LibB.Seq11377 LibB.Seq28833
LibB.Seq11379 LibB.Seq28249
LibB.Seq11382 LibB.Seq28331
LibB.Seq11384 LibB.Seq28321
LibB.Seq11399 LibB.Seq28667
LibB.Seq11420 LibB.Seq28941
LibB.Seq11425 LibB.Seq27575
LibB.Seq11429 LibB.Seq28383
LibB.Seq11438 LibB.Seq28818
LibB.Seq11451 LibB.Seq28375
LibB.Seq11456 LibB.Seq28424
LibB.Seq11465 LibB.Seq28380
LibB.Seq11471 LibB.Seq27712
LibB.Seq11479 LibB.Seq28544
LibB.Seq11480 LibB.Seq28624
LibB.Seq11500 LibB.Seq28181
LibB.Seq11522 LibB.Seq27600
LibB.Seq11528 LibB.Seq28104
LibB.Seq11539 LibB.Seq28400
LibB.Seq11579 LibB.Seq27502
LibB.Seq11580 LibB.Seq28351
LibB.Seq11593 LibB.Seq27906
LibB.Seq11595 LibB.Seq27941
LibB.Seq11610 LibB.Seq28044
LibB.Seq11616 LibB.Seq28985
LibB.Seq11626 LibB.Seq28692
LibB.Seq11628 LibB.Seq27863
LibB.Seq11635 LibB.Seq28770
LibB.Seq11646 LibB.Seq27567
LibB.Seq11661 LibB.Seq28021
LibB.Seq11671 LibB.Seq28484
LibB.Seq11687 LibB.Seq28650
LibB.Seq11695 LibB.Seq28307
LibB.Seq11700 LibB.Seq28372
LibB.Seq11709 LibB.Seq27692
LibB.Seq11710 LibB.Seq28675
LibB.Seq11712 LibB.Seq27974
LibB.Seq11726 LibB.Seq27556
LibB.Seq11753 LibB.Seq27534
LibB.Seq11755 LibB.Seq28258
LibB.Seq11769 LibB.Seq27992
LibB.Seq11799 LibB.Seq28096
LibB.Seq11801 LibB.Seq27769
LibB.Seq11803 LibB.Seq27726
LibB.Seq11813 LibB.Seq28394
LibB.Seq11819 LibB.Seq28710
LibB.Seq11824 LibB.Seq28026
LibB.Seq11830 LibB.Seq28597
LibB.Seq11844 LibB.Seq27820
LibB.Seq11847 LibB.Seq28714
LibB.Seq11853 LibB.Seq27700
LibB.Seq11869 LibB.Seq28785
LibB.Seq11872 LibB.Seq28230
LibB.Seq11874 LibB.Seq28849
LibB.Seq11877 LibB.Seq28863
LibB.Seq11892 LibB.Seq28532
LibB.Seq11898 LibB.Seq28068
LibB.Seq11900 LibB.Seq28828
LibB.Seq11911 LibB.Seq28614
LibB.Seq11915 LibB.Seq28888
LibB.Seq11923 LibB.Seq28378
LibB.Seq11931 LibB.Seq27766
LibB.Seq11944 LibB.Seq27780
LibB.Seq11952 LibB.Seq28092
LibB.Seq11961 LibB.Seq28684
LibB.Seq11977 LibB.Seq27624
LibB.Seq11978 LibB.Seq28055
LibB.Seq11982 LibB.Seq28856
LibB.Seq11987 LibB.Seq28226
LibB.Seq11989 LibB.Seq28346
LibB.Seq11992 LibB.Seq28862
LibB.Seq12019 LibB.Seq28776
LibB.Seq12026 LibB.Seq28700
LibB.Seq12028 LibB.Seq27552
LibB.Seq12041 LibB.Seq28398
LibB.Seq12054 LibB.Seq27857
